naics,name,baseline_tradable,corrected_tradable
331525,Copper Foundries (except Die-Casting),tradable,tradable
331528,Other Nonferrous Foundries (except Die-Casting),tradable,tradable
332111,Iron and Steel Forging,tradable,tradable
332112,Nonferrous Forging,tradable,tradable
332114,Custom Roll Forming,tradable,tradable
332115,Crown and Closure Manufacturing,tradable,tradable
332116,Metal Stamping,tradable,tradable
332117,Powder Metallurgy Part Manufacturing,tradable,tradable
332211,Cutlery and Flatware (except Precious) Manufacturing,tradable,tradable
332212,Hand and Edge Tool Manufacturing,tradable,tradable
332213,Saw Blade and Handsaw Manufacturing,tradable,tradable
332214,"Kitchen Utensil, Pot, and Pan Manufacturing",tradable,tradable
332311,Prefabricated Metal Building and Component Manufacturing,non-tradable,non-tradable
332312,Fabricated Structural Metal Manufacturing,non-tradable,non-tradable
332313,Plate Work Manufacturing,non-tradable,non-tradable
332321,Metal Window and Door Manufacturing,non-tradable,non-tradable
332322,Sheet Metal Work Manufacturing,non-tradable,non-tradable
332323,Ornamental and Architectural Metal Work Manufacturing,non-tradable,non-tradable
332410,Power Boiler and Heat Exchanger Manufacturing,tradable,tradable
332420,Metal Tank (Heavy Gauge) Manufacturing,tradable,tradable
332431,Metal Can Manufacturing,tradable,tradable
332439,Other Metal Container Manufacturing,tradable,tradable
332510,Hardware Manufacturing,tradable,tradable
332611,Spring (Heavy Gauge) Manufacturing,tradable,tradable
332612,Spring (Light Gauge) Manufacturing,tradable,tradable
332618,Other Fabricated Wire Product Manufacturing,tradable,tradable
332710,Machine Shops,non-tradable,non-tradable
332721,Precision Turned Product Manufacturing,non-tradable,non-tradable
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",tradable,tradable
332811,Metal Heat Treating,tradable,tradable
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",non-tradable,non-tradable
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",non-tradable,non-tradable
332911,Industrial Valve Manufacturing,tradable,tradable
332912,Fluid Power Valve and Hose Fitting Manufacturing,tradable,tradable
332913,Plumbing Fixture Fitting and Trim Manufacturing,tradable,tradable
332919,Other Metal Valve and Pipe Fitting Manufacturing,tradable,tradable
332991,Ball and Roller Bearing Manufacturing,tradable,tradable
332992,Small Arms Ammunition Manufacturing,tradable,tradable
